,city,job_title,salary
287,san francisco,ads data scientist,
289,san francisco,data scientist   search   relevance,
290,san francisco,senior data   applied scientist,
291,san francisco,data scientist  analytics ,
292,san francisco,scientist i,
293,san francisco,data scientist,
294,san francisco,data scientist  big data analytics ,
295,san francisco,data scientist   metabolomics,
296,san francisco,product manager   data,
298,san francisco,data scientist  ai ml,
299,san francisco,data scientist,
300,san francisco,data scientist  engineering,
301,san francisco,staff scientist,
303,san francisco,customer support representative,
304,san francisco,phc data scientist,
305,san francisco,data scientist  analytics,
307,san francisco,crispr scientist,
308,san francisco,data science summer 2019 intern,
309,austin,psychometric reserach scientist,
310,austin,software engineer   ml implementation,
311,austin,sr  manager  data science,
312,austin,clinical data reporter,
313,austin,data analyst,
315,austin,environmental scientist,
317,austin,entry level geologist or environmental engineer scientist,
318,austin,data scientist,
319,austin,laboratory data scientist,
320,austin,data scientist,
321,austin,data scientist,
322,austin,lead data scientist and cognitive software engineer,
323,austin,cognitive research scientist  sme   cognitive computing,
324,austin,tti assistant research scientist,
325,austin,dps   les   forensic scientist i iii  trace evidence ,
326,austin,tti associate research scientist,
327,austin,electronic medical records analyst,
328,austin,data scientist,
330,austin,data scientist,
332,austin,data scientist,
333,austin,cognitive research scientist  sme   cognitive computing,
334,austin,software engineer   ml implementation,
335,austin,cognitive data scientist,
340,austin,production scientist ii,
342,austin,scientist  bioinformatics,
343,austin,associate scientist protein biochemistry,
344,austin,software engineer   new college graduate,
345,austin,sr  manager  data science,
346,austin,lead data scientist and cognitive software engineer,
347,austin,psychometric reserach scientist,
348,austin,director  data science,
349,austin,multi int data scientist,
350,austin,data scientist 4  poker,
351,austin,biologist,
352,austin,senior data scientist,
353,austin,research scientist,
355,austin,prior authorization coordinator iii,
358,austin,data engineer,
359,austin,intern,
360,austin,logistics research analyst,
361,austin,billing call center representative,
362,austin,water resources planner   scientist   water business,
363,austin,food scientist  amplify snack brands ,
364,austin,research analyst,
366,austin,senior data domain scientist,
367,austin,product scientist,
368,austin,data scientist ll,
369,austin,data engineer,
370,austin,senior research analyst,
371,austin,environmental specialist,
372,austin,data scientist bl lab,
373,austin,data scientist ii: yield optimization,
374,austin,data scientist  transit,
375,austin,quantitative marketing analyst,
376,austin,data scientist   marketing,
377,austin,scientist ii,
378,austin,sr  data scientist,
379,austin,data engineer,
381,austin,senior data scientist,
382,austin,data analyst  aka lead quant ,
383,austin,data scientist   ts sci required,
384,austin,inside sales representative   austin  tx,
385,austin,molecular biologist,
386,austin,organizational analyst  consultant,
387,austin,technical communications co op,
389,austin,customer care tier 3 specialist,
390,austin,lead data scientist,
391,austin,sr operations manager  austin    scooters,
392,austin,ppc specialist,
394,austin,big data pipeline software engineer   java scala,
396,austin,data product manager,
397,austin,bioinformatics data programmer,
398,austin,data architect,
399,austin,quantitative risk analyst   financial risk,
400,austin,clinical research scientist,
401,austin,research analyst ii,
402,austin,test technician 1,
403,austin,prior authorization coordinator  temporary ,
404,austin,ai consultant   healthcare,
405,austin,sr  data engineer 1241362,
406,austin,human factors engineer,
407,austin,machine learning engineer  research  52162 ,
408,austin,sr  content strategist,
410,austin,sr data scientist   vision,
411,austin,sales development representative,
412,austin,data engineer,
415,seattle,principal lab data programmer,
417,seattle,senior data journalist,
419,seattle,data scientist,
420,seattle,entry level methods process analyst,
421,seattle,erp contract data entry operator  temporary hourly ,
422,seattle,data scientist  analytics  university grad,
423,seattle,data scientist,
424,seattle,data scientist 2,
425,seattle,intern   data scientist  bellevue  wa ,
426,seattle,principal data scientist,
427,seattle,machine learning engineer,
428,seattle,data analyst   jr  data scientist,
430,seattle,data scientist,
431,seattle,office administrator,
432,seattle,data scientist   richmond virginia,
433,seattle,customer facing data scientist,
434,seattle,intern data scientist,
435,seattle,data scientist quantitative analyst intern  summer 2018,
436,seattle,data coord ii,
437,seattle,data scientist,
438,seattle,product manager   data services,
439,seattle,data scientist  mobile games ,
441,seattle,director of data acquisition,
442,seattle,data science intern,
443,seattle,junior data scientist,
444,seattle,data scientist,
445,seattle,data scientist,
446,seattle,talent programs and events specialist,
448,seattle,data scientist  zillow offers,
449,seattle,data curator,
450,seattle,data scientist,
451,seattle,data scientist  engineering,
452,seattle,data scientist,
453,seattle,applied scientist  economic data   intern,
454,seattle,associate data scientist,
455,seattle,scientist   econometrician,
456,seattle,data   applied scientist,
457,seattle,cosmetics scientist,
459,seattle,data scientist,
460,seattle,transportation analyst   entry level,
461,seattle,d3   junior data scientist,
462,seattle,data engineer data scientist,
463,seattle,data scientist   researcher,
465,seattle,research analyst,
466,seattle,nc programming internships  paid    fall 2018,
467,seattle,contract   data scientist  ntd ,
468,seattle,data scientist,
469,seattle,associate data scientist,
470,seattle,data scientist   verticals,
471,seattle,research scientist assistant,
472,seattle,data science   analytics intern  paid    summer 2019,
473,seattle,research analyst,
474,seattle,data scientist,
475,seattle,data analyst,
476,seattle,data scientist,
477,seattle,data scientist,
478,seattle,machine learning engineer,
479,seattle,principal data scientist,
480,seattle,lab data coordinator,
481,seattle,data scientist   mortgages,
482,seattle,data scientist  analytics   ads foundations,
483,seattle,lab data specialist,
484,seattle,intern: yield analytics   grower data modeling,
485,seattle,data scientist ml engineer,
486,seattle,industrial hygiene scientist intern,
487,seattle,research scientist i,
488,seattle,data scientist  analytics   nlp search,
489,seattle,entry level therapist,
490,seattle,principal lab data programmer,
493,seattle,data scientist,
494,seattle,data scientist  commercial analytics ,
495,seattle,research data analyst,
496,seattle,market research analyst   analyst development program,
497,seattle,provisioning specialist,
